URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://dicom.nema.org/medical/dicom/current/output/chtml/part16/sect_CID_244.html,2025.3.20250714,active,"1.2.840.10008.6.1.37",Laterality,,"Transitive closure of CID 244 Laterality","StructureDefinition/ImImagingStudy","SCT,Other"
http://hl7.org/fhir/ValueSet/procedure-not-performed-reason,5.0.0,active,"2.16.840.1.113883.4.642.3.422,2.16.840.1.113883.4.642.3.431,2.16.840.1.113883.4.642.2.418",ProcedureNotPerformedReasonSNOMEDCT,Procedure Not Performed Reason (SNOMED-CT),"Situation codes describing the reason that a procedure, which might otherwise be expected, was not performed, or a procedure that was started and was not completed. Consists of SNOMED CT codes, children of procedure contraindicated (183932001), procedure discontinued (416406003), procedure not done (416237000), procedure not indicated (428119001), procedure not offered (416064006), procedure not wanted (416432009), procedure refused (183944003), and procedure stopped (394908001) as well as 410536001 Contraindicated (qualifier value).","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure","SCT"
http://hl7.org/fhir/ValueSet/procedure-outcome,5.0.0,draft,"2.16.840.1.113883.4.642.2.239,2.16.840.1.113883.4.642.3.419,2.16.840.1.113883.4.642.3.428",ProcedureOutcomeCodesSNOMEDCT,Procedure Outcome Codes (SNOMED CT),"Procedure Outcome code: A selection of relevant SNOMED CT codes.","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure","SCT"
http://hl7.org/fhir/ValueSet/procedure-reason,5.0.0,draft,"2.16.840.1.113883.4.642.3.432,2.16.840.1.113883.4.642.3.423,2.16.840.1.113883.4.642.2.419",ProcedureReasonCodes,Procedure Reason Codes,"This example value set defines the set of codes that can be used to indicate a reason for a procedure.","StructureDefinition/ProcedureEu,StructureDefinition/ImProcedure,StructureDefinition/ImImagingStudy,StructureDefinition/ImOrder,StructureDefinition/ServiceRequest-eu-lab","SCT"
http://hl7.org/fhir/ValueSet/quantity-comparator,5.0.0,active,"2.16.840.1.113883.4.642.3.59",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","StructureDefinition/Quantity-uv-ips,StructureDefinition/quantity-eu,StructureDefinition/SimpleQuantity-uv-ips,StructureDefinition/Quantity-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/SimpleQuantityEu","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/referenced-item-category,5.0.0,active,"2.16.840.1.113883.4.642.3.3275",ReferencedItemCategoryValueSet,Referenced Item Category Value Set,"This is the code specifying the high-level kind of document (e.g. Prescription, Discharge Summary, Report, etc.). Made up of a set of non-healthcare specific codes and all LOINC codes where scale type = 'DOC'.","StructureDefinition/ImComposition,StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/CompositionEu,StructureDefinition/DocumentReferenceEu,StructureDefinition/Composition-eu-lab","LOINC,THO"
http://hl7.org/fhir/ValueSet/referencerange-appliesto,5.0.0,draft,"2.16.840.1.113883.4.642.3.407,2.16.840.1.113883.4.642.3.396",ObservationReferenceRangeAppliesToCodes,Observation Reference Range Applies To Codes,"This value set defines a set of codes that can be used to indicate the particular target population the reference range applies to.","StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/ImFinding","SCT"
http://hl7.org/fhir/ValueSet/referencerange-meaning,5.0.0,draft,"2.16.840.1.113883.4.642.3.397,2.16.840.1.113883.4.642.2.217,2.16.840.1.113883.4.642.3.384",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/medicalTestResult-eu-core,StructureDefinition/ObservationEu,StructureDefinition/ImFinding","THO"
http://hl7.org/fhir/ValueSet/report-codes,5.0.0,draft,"2.16.840.1.113883.4.642.2.116,2.16.840.1.113883.4.642.3.233,2.16.840.1.113883.4.642.3.228",LOINCDiagnosticReportCodes,LOINC Diagnostic Report Codes,"This value set includes LOINC codes that relate to Diagnostic Observations.","StructureDefinition/ImDiagnosticReport","LOINC"
http://hl7.org/fhir/ValueSet/request-intent,5.0.0,draft,"2.16.840.1.113883.4.642.3.113",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","StructureDefinition/ImOrder,StructureDefinition/ServiceRequest-eu-lab","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/request-priority,5.0.0,draft,"2.16.840.1.113883.4.642.3.115",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","StructureDefinition/ImOrder,StructureDefinition/ServiceRequest-eu-lab","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/request-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.111",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","StructureDefinition/ImOrder,StructureDefinition/ServiceRequest-eu-lab,StructureDefinition/CarePlanEu","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/resource-types,5.0.0,active,"2.16.840.1.113883.4.642.3.27",ResourceType,Resource Types,"Concrete FHIR Resource Types","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/ImImagingStudy,StructureDefinition/Observation-resultslab-eu-lab,StructureDefinition/ObservationEu,StructureDefinition/Composition-eu-lab,StructureDefinition/ImFinding,StructureDefinition/ImDiagnosticReport","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/security-label-examples,5.0.0,draft,"2.16.840.1.113883.4.642.3.3011",SecurityLabelExamples,Example set of Security Labels,"A sample of security labels from [Healthcare Privacy and Security Classification System](security-labels.html#hcs) as the combination of data and event codes.","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/DocumentReferenceEu",
http://hl7.org/fhir/ValueSet/series-performer-function,5.0.0,draft,"2.16.840.1.113883.4.642.3.989",ImagingStudySeriesPerformerFunction,ImagingStudy series performer function,"Performer function of an agent in an imaging study series","StructureDefinition/ImImagingSelection,StructureDefinition/ImKeyImageImagingSelection","THO (V3)"
http://hl7.org/fhir/ValueSet/servicerequest-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.434",ServiceRequestCategoryCodes,Service Request Category Codes,"An example value set of SNOMED CT concepts that can classify a requested service","StructureDefinition/ImOrder,StructureDefinition/ServiceRequest-eu-lab","SCT"
http://hl7.org/fhir/ValueSet/servicerequest-orderdetail-parameter-code,5.0.0,draft,,ServiceRequestOrderDetailParameterCode,Servicerequest OrderDetail Parameter Code,"The order detail parameter codes.","StructureDefinition/ImOrder,StructureDefinition/ServiceRequest-eu-lab","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/specimen-collection-method,5.0.0,draft,"2.16.840.1.113883.4.642.3.468,2.16.840.1.113883.4.642.2.275,2.16.840.1.113883.4.642.3.461",FHIRSpecimenCollectionMethod,FHIR Specimen Collection Method,"This example value set defines a set of codes that can be used to indicate the method by which a specimen was collected.","StructureDefinition/Specimen-eu-lab","SCT"
http://hl7.org/fhir/ValueSet/specimen-combined,5.0.0,draft,"2.16.840.1.113883.4.642.3.3217",SpecimenCombined,Specimen Combined,"Codes providing the combined status of a specimen.","StructureDefinition/Specimen-eu-lab","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/specimen-processing-method,5.0.0,draft,"2.16.840.1.113883.4.642.3.3215",SpecimenProcessingMethod,Specimen Processing Method,"The technique that is used to perform the process or preserve the specimen. These are codes from SNOMED CT - provided as an exemplar value set.","StructureDefinition/Specimen-eu-lab","SCT"
http://hl7.org/fhir/ValueSet/specimen-role,5.0.0,draft,"2.16.840.1.113883.4.642.3.3216",SpecimenRole,Specimen Role,"Codes providing the role of a specimen.","StructureDefinition/Specimen-eu-lab","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/specimen-status,5.0.0,draft,"2.16.840.1.113883.4.642.2.426,2.16.840.1.113883.4.642.3.464,2.16.840.1.113883.4.642.3.471",SpecimenStatus,Specimen Status,"Codes providing the status/availability of a specimen.","StructureDefinition/Specimen-eu-lab","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/substance-category,5.0.0,draft,"2.16.840.1.113883.4.642.3.476,2.16.840.1.113883.4.642.3.469,2.16.840.1.113883.4.642.2.279",SubstanceCategoryCodes,Substance Category Codes,"Substance category codes","StructureDefinition/Substance-additive-eu-lab","THO"
http://hl7.org/fhir/ValueSet/substance-code,5.0.0,draft,"2.16.840.1.113883.4.642.3.466,2.16.840.1.113883.4.642.2.57,2.16.840.1.113883.4.642.3.473",SubstanceCode,Substance Code,"This value set contains concept codes for specific substances. It includes codes from [SNOMED](http://snomed.info/sct) where concept is-a 105590001 (Substance (substance))","StructureDefinition/Substance-additive-eu-lab","SCT"
http://hl7.org/fhir/ValueSet/substance-status,5.0.0,draft,"2.16.840.1.113883.4.642.3.474,2.16.840.1.113883.4.642.3.467",FHIRSubstanceStatus,FHIRSubstanceStatus,"A code to indicate if the substance is actively used.","StructureDefinition/Substance-additive-eu-lab","hl7.fhir.r5.core"
http://hl7.org/fhir/ValueSet/udi-entry-type,5.0.0,draft,"2.16.840.1.113883.4.642.3.201,2.16.840.1.113883.4.642.3.211",UDIEntryType,UDI Entry Type,"Codes to identify how UDI data was entered.","StructureDefinition/ImImagingDevice","hl7.fhir.r5.core"
http://hl7.org/fhir/uv/ips/ValueSet/pregnancy-status-uv-ips,2.0.0,active,,PregnancyStatusUvIps,Pregnancy Status - IPS,"IPS pregnancy status codes value set.  This value set includes codes from SNOMED CT®: 77386006 \|Pregnant\|; 60001007 \|Not pregnant\|; 152231000119106 \|Pregnancy not yet confirmed\|; 146799005 \|Possible pregnancy\|  SNOMED CT® ECL definition:\ 77386006 \|Pregnant\| OR 60001007 \|Not pregnant\| OR 152231000119106 \|Pregnancy not yet confirmed\| OR 146799005 \|Possible pregnancy\|","StructureDefinition/ImOrder","SCT"
http://hl7.org/fhir/uv/ips/ValueSet/results-coded-values-laboratory-uv-ips,1.1.0,active,,ResultsCodedValuesLaboratoryUvIps,Results Coded Values Laboratory - IPS,"This value set is defined as the union of: (a) Blood group [Type]; (b) Presence/Absence Indicators (2.16.840.1.113883.11.22.52) (c) Microorganisms (2.16.840.1.113883.11.22.49)","StructureDefinition/Observation-resultslab-eu-lab",
http://hl7.org/fhir/uv/ips/ValueSet/results-laboratory-observations-uv-ips,1.1.0,active,,ResultsLaboratoryObservationUvIps,Results Laboratory Observation - IPS,"Value Set Definition: LOINC {STATUS in {ACTIVE}, CLASSTYPE in {1}, CLASS exclude {CHALSKIN, H&P.HX.LAB, LABORDERS, NR STATS, PATH, PATH.\*, MOLPATH, MOLPATH.\*, CYTO, HL7.CYTOGEN, HL7.GENETICS}}","StructureDefinition/Observation-resultslab-eu-lab","LOINC"
http://loinc.org/vs/loinc-rsna-radiology-playbook,null,active,,LOINC/RSNA Radiology Playbook,,"","StructureDefinition/ImImagingStudy","LOINC"
http://terminology.hl7.org/ValueSet/v2-0116,3.0.0,active,"2.16.840.1.113883.21.51",Hl7VSBedStatus,hl7VS-bedStatus,"Value Set of codes that specify the state of a bed in an inpatient setting, and is used to determine if a patient may be assigned to it or not.","StructureDefinition/location-eu-core","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-0493,3.0.0,active,"2.16.840.1.113883.21.333",Hl7VSSpecimenCondition,hl7VS-specimenCondition,"Concepts of modes or states of being that describe the nature of a specimen.  Used in Version 2 messaging in the SPM segment.","StructureDefinition/Specimen-eu-lab","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-0916,3.0.0,active,"2.16.840.1.113883.21.440",Hl7VSRelevantClincialInformation,hl7VS-relevantClincialInformation,"Value Set of codes that specify additional clinical information about the patient or specimen to report the supporting and/or suspected diagnosis and clinical findings on requests for interpreted diagnostic studies.","StructureDefinition/Specimen-eu-lab","THO (V2)"
http://terminology.hl7.org/ValueSet/v2-0936,3.0.0,active,"2.16.840.1.113883.21.460",Hl7VSVSObservationType,hl7VS-VS-observationType,"Value Set of codes that specify types of observations to enable systems to distinguish between observations sent along with an order, versus observations sent as the result to an order.","StructureDefinition/DiagnosticReport-eu-lab","THO (V2)"
http://terminology.hl7.org/ValueSet/v3-ActCode,3.0.0,active,,ActCode,v3 Code System ActCode,"A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","StructureDefinition/ImComposition,StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/CompositionEu,StructureDefinition/DocumentReferenceEu,StructureDefinition/Composition-eu-lab","THO (V3)"
http://terminology.hl7.org/ValueSet/v3-HL7FormatCodes,2.1.0,active,"2.16.840.1.113883.11.19752",HL7FormatCodes,HL7 ValueSet of Format Codes for use with Document Sharing,"The HL7-FormatCodes value set is defined to be the set of FormatCode(s) defined by implementation guides published by HL7 and other SDOs. The use of a formatCode from the FormatCodes value set specifies the technical format that a document conforms to. The formatCode is a further specialization more detailed than the mime-type. The formatCode provides sufficient information to allow any potential document content consumer to know if it can process and/or display the content of the document based on the document encoding, structure and template conformance indicated by the formatCode. The set of formatCodes is intended to be extensible. The Content Logical Description is defined intentionally to permit formatCodes defined by other Standards Development Organizations to be added by inclusion of additional formatCode Code Systems.","StructureDefinition/ImKeyImageDocumentReference,StructureDefinition/DocumentReferenceEu","THO (V3),Other"
http://terminology.hl7.org/ValueSet/v3-ServiceDeliveryLocationRoleType,3.0.0,active,"2.16.840.1.113883.1.11.17660",ServiceDeliveryLocationRoleType,ServiceDeliveryLocationRoleType,"A role of a place that further classifies the setting (e.g., accident site, road side, work site, community location) in which services are delivered.","StructureDefinition/location-eu-core,StructureDefinition/ImOrder,StructureDefinition/ServiceRequest-eu-lab","THO (V3)"
https://hl7.lt/fhir/eu/ValueSet/report-code,1.0.0,draft,,ReportCode,Report Code,"Diagnostic report codes including all subtypes of Clinical procedure report, excluding the root concept itself.",,"SCT"
